Title,Seasons,Episodes,Country,Premiere Year,Final Year,Original Channel,Channel2,Channel3,Channel4,Channel5,
Pound Puppies,3,65,"Canada, United States",2010,2013,YTV,The Hub,,,,
Power Players,2,78,"United States, France",2019,2020,Cartoon Network (US and EMEA),France 4 (France),WDR (Germany),Gloob (Brazil),Discovery Kids (Latin America),
Powerbirds,1,10,United States,2020,Present,Universal Kids,,,,,
Presto! School of Magic,1,26,France,2021,Present,Discovery Kids,,,,,
Preston Pig,1,10,Britain,2000,2000,CITV,,,,,
Pretzel and the Puppies,TBA,TBA,United States,2022,Present,Apple TV+,,,,,
Prezzemolo,1,26,Italian,2002,2003,Italia 1,,,,,
Primal,2,13,United States,2019,Present,Adult Swim,,,,,
Princess Gwenevere and the Jewel Riders,2,26,US,1995,1996,Syndication,,,,,
Princess Sissi,2,52,"Canada, France",1997,1998,France 3,,,,,
Princesse Shéhérazade,1,52,France,1996,1999,France 2,France 3,,,,
Prisoner Zero,,26,Australia,2016,2016,ABC3,,,,,
Problem Child,2,26,US,1993,1994,USA Network,,,,,
Producing Parker,,26,"Canada, Philippines",2009,2011,TVtropolis,,,,,
Project G.e.e.K.e.R.,1,13,US,1996,1996,CBS,,,,,
ProStars,1,13,US,1991,1991,NBC,,,,,
Pucca,2,117,"Canada, South Korea",2006,2009,Jetix,Disney XD,,,,
Pucca (Season 3),3,,South Korea,2018,2019,Tooniverse,,,,,
Puffin Rock,2,78,Ireland,2015,2016,RTÉjr,,,,,
Pumpkin Reports,1,52,"Spain, Malaysia, Italy",2015,2016,Clan,,,,,
Punch!,,18,Canada,2008,2008,Teletoon at Night,,,,,
Punky,2,40,Ireland,2011,Present,RTÉ2,,,,,
Puppy Dog Pals,,65,United States,2017,Present,Disney Junior,,,,,
Puppy in My Pocket: Adventures in Pocketville,,52,Italy,2010,2011,Italia 1,,,,,
Puppydog Tales,1,13,UK,1992,1992,BBC,,,,,
Purno de Purno,1,56,Netherlands,1989,1996,VPRO,,,,,
Purno de Purno,1,56,Netherlands,2006,2007,VPRO,,,,,
Purple and Brown,1,13,Britain,2006,2007,Nickelodeon UK,,,,,
Q-Force,1,10,United States,2021,2021,Netflix,,,,,
Quack Pack,1,39,US,1996,1996,Syndication,,,,,
Quarxs,1,12,France,1990,1993,Canal+,,,,,
Queer Duck,1,20,United States,2002,2004,Showtime,,,,,
Qumi-Qumi,1,18,"Russian, United States",2012,Present,,,,,,
Raa Raa the Noisy Lion,3,79,Britain,2011,2018,CBeebies,,,,,
"Rabbids Invasion, Les Lapins Crétins : Invasion",4,104,"France, United States",2013,Present,Nickelodeon,Nicktoons,Ludo (France),Netflix,,
Rainbow Butterfly Unicorn Kitty,1,26,United States,2019,2019,Nickelodeon,Nicktoons,,,,
Rainbow Fish,1,26,"Canada, Germany, United States",2000,2000,HBO,,,,,
Rainbow Rangers,1,52,United States,2018,Present,Nick Jr.,,,,,
Rainbow Ruby,,52,"Canada, China, South Korea, Britain",2016,2016,CBeebies,Family Jr.,,,,
Random! Cartoons,,13,United States,2008,2009,Nicktoons Network,,,,,
Randy Cunningham: 9th Grade Ninja,,50,"Ireland, Britain, United States",2012,2015,Disney XD,,,,,
Ranger Rob,3,66,Canada,2016,2021,Treehouse TV (Canada),Tiny Pop (United Kingdom),Nat Geo Kids (Latin American),,,
Rapunzel's Tangled Adventure,3,60,United States,2017,2020,Disney Channel,,,,,
Rasmus Klump,1,52,Denmark,1997,2000,,,,,,
Rastamouse,3,104,Britain,2011,2015,CBeebies,,,,,
Rated A for Awesome,1,26,Canada,2011,2012,YTV,,,,,
Ratz,,52,"Canada, France",2003,2006,France 3,Teletoon,,,,
Raw Toonage,1,12,US,1992,1992,CBS,,,,,
Rayman: The Animated Series,1,4,France,1999,2000,Direct-to-Video,,,,,
Razzberry Jazzberry Jam,,26,Canada,2008,2008,CBC,,,,,
Ready Jet Go!,,52,"Canada, United States",2016,2019,PBS Kids,Nat Geo Kids,,,,
ReBoot,4,48,Canada,1994,2001,YTV,Discovery Kids,,,,
ReBoot: The Guardian Code,2,20,Canada,2018,2018,YTV (CAN),Netflix (International),,,,
Recess,6,65,US,1997,2001,ABC,,,,,
Red Planet,1,3,US,1994,1994,Fox Kids,,,,,
Redakai: Conquer the Kairu,2,52,"Canada, France",2011,2013,YTV,Canal J,,,,
Redwall,3,39,"France, UK",1999,2001,Teletoon,,,,,
Regal Academy,,26,Italy,2016,2018,Rai Gulp,,,,,
Regular Show,8,261,United States,2010,2017,Cartoon Network,,,,,
Rekkit Rabbit,1,52,France,2011,2014,TF1,,,,,
Remy & Boo,1,26,United States,2020,Present,Universal Kids,,,,,
"Ren & Stimpy ""Adult Party Cartoon""",,6,"Canada, United States",2003,2004,Spike TV,,,,,
Rescue Heroes,3,40,Canada,1999,2002,Teletoon,,,,,
Rev & Roll,,52[26],"Canada, China",2019,Present,Family Jr.,,,,,
Rex the Runt,2,26,UK,1998,2001,BBC Two,,,,,
Rey Mysterio vs The Darkness,1,10,Latin America,2022,2022,Cartoon Network,,,,,
RhombusGeometry,3,80,"United States, Canada",2020,Present,Geometry Team TV,Nickelodeon,,,,
Rhyme Time Town,2,21,United States,2020,Present,Netflix,,,,,
Ribert and Robert's Wonderworld,,78,United States,2005,2008,PBS Kids,,,,,
Richie Rich,1,13,US,1996,1996,Syndication,,,,,
Rick & Steve: The Happiest Gay Couple in All the World,,14,"Canada, United States",2007,2009,Teletoon,Logo,,,,
Rick and Morty,5,51,United States,2013,Present,Adult Swim,,,,,
Ricky Sprocket: Showbiz Boy,2,25,Canada,2007,2009,Teletoon,,,,,
Ricky Zoom,,26[27],"China, France, Britain",2019,Present,Nickelodeon,Nick Jr.,,,,
Ridley Jones,3,15,United States,2021,Present,Netflix,,,,,
Right Now Kapow,,26,France,2016,2017,TF1,,,,,
Ring Raiders,1,5,US,1989,1989,Syndication,,,,,
Ripples,2,52,Italy,2007,2009,Rai 3,Rai Gulp,Rai Yoyo,,,
Rise of the Teenage Mutant Ninja Turtles,,39,United States,2018,2020,Nickelodeon,,,,,
"Rise Up, Sing Out",1,3,United States,2022,Present,Disney Junior,,,,,
Road Rovers,1,13,US,1996,1997,Kids' WB,,,,,
Roary the Racing Car,,55,Britain,2007,2010,Channel 5,,,,,
Rob the Robot,2,104,Canada,2010,2017,TVOKids,Discovery Kids,,,,
Robin,2,30,Sweden,1996,1996,Teletoon Detour,,,,,
Robinson Sucroe,1,26,"Canada, France",1994,1994,France 2,BBC,Teletoon,RTP2,Canal Panda,
Robocar Poli 로보카 폴리,4,104,South Korea,2011,Present,EBS,,,,,
RoboCop: Alpha Commando,1,40,"Canada, US",1998,1999,Syndication,,,,,
RoboCop: The Animated Series,1,12,US,1988,1988,Syndication,,,,,
Roboroach,2,52,Canada,2002,2003,Teletoon,,,,,
Robot and Monster,,26,United States,2012,2015,Nickelodeon,,,,,
Robot Chicken,,179,United States,2005,Present,Adult Swim,,,,,
Robotboy,,52,"France, Britain",2005,2008,France 3,Cartoon Network,,,,
Robotech II: The Sentinels,1,3,"US, Japan",1988,1988,Syndication,,,,,
Robotomy,1,10,United States,2010,2011,Cartoon Network,,,,,
Robozuna,2,20,Britain,2018,2019,CITV,,,,,
Rocket Monkeys,3,65,Canada,2013,2016,Teletoon (Canada),Nickelodeon (United States),,,,
Rocket Power,4,71,US,1999,2004,Nickelodeon,,,,,
Rocko's Modern Life,4,52,US,1993,1996,Nickelodeon,,,,,
Rod 'n' Emu,1,13,UK,1991,1991,CITV,,,,,
Rolie Polie Olie,6,65,France,1998,2004,France 2,,,,,
RollBots,,26,Canada,2009,2010,YTV,,,,,
Rolling with the Ronks!,,26,France,2016,2017,Disney Channel,,,,,
Ronaldinho Gaucho's Team,1,52,Italy,2011,2011,DeA Kids,,,,,
Roobarb and Custard Too,,39,Britain,2005,2005,BBC One,,,,,
Rosie's Rules,TBA,TBA,United States,2022,2022,PBS Kids,,,,,
"Roswell Conspiracies: Aliens, Myths and Legends",1,40,"Canada, US",1999,2000,Syndication,,,,,
Rotten Ralph,1,55,"Canada, UK",1998,2001,Fox Family Channel,Nickelodeon,Disney Channel,,,
Rotten Ralph,1,55,UK,1999,2001,Fox Family Channel,CBBC,Nickelodeon,,,
Roughnecks: Starship Troopers Chronicles,1,36,US,1999,2000,Syndication,,,,,
Royal Crackers,TBA,TBA,United States,2022,2022,Adult Swim,,,,,
Rubbadubbers,,45,Britain,2003,2006,Nickelodeon,Nick Jr.,BBC,Discovery Kids,,
"Rubbish, King of the Jumble",2,26,UK,1992,1994,CITV,,,,,
Ruby Gloom,,40,Canada,2006,2008,YTV,Pakapaka,,,,
Rude Dog and the Dweebs,1,13,US,1989,1989,CBS,,,,,
Rudra: Boom Chik Chik Boom,,79,India,2018,2018,Nickelodeon India,,,,,
"Ruff-Ruff, Tweet and Dave",1,54,"United Kingdom, United States, Singapore, Canada",2015,2019,CBeebies (United Kingdom),Sprout (United States),,,,
Rugrats,9,172,US,1991,2004,Nickelodeon,,,,,
Rugrats (2021),1,24,United States,2021,Present,Paramount+ / Nickelodeon,,,,,
Rupert,5,65,"Canada, France, UK",1991,1997,YTV,,,,,
Rupert and Sam,1,52,Spain,2011,2011,TV3,,,,,
"Rupert Bear, Follow the Magic...",,52,Britain,2006,2008,Milkshake!,,,,,
Rusty Rivets[nb 1],3,52,Canada,2016,2020,Treehouse TV,Nick Jr.,,,,
S.M.A.S.H.,1,52,Germany,2022,2022,Super RTL / Discovery Family / HBO Max,,,,,
Saari,,,Spain,2009,2009,,,,,,
Saban's Adventures of Oliver Twist,1,52,"US, France",1996,1997,TF1,,,,,
Saban's Gulliver's Travels,1,26,"France, US",1992,1993,Syndication,,,,,
Saber Rider and the Star Sheriffs,1,52,"US, Japan",1987,1988,Syndication,,,,,
Sabrina: Secrets of a Teenage Witch,1,26,United States,2013,2014,Hub Network,,,,,
Sabrina: The Animated Series,3,65,US,1999,2000,UPN,ABC,,,,
Sabrina's Secret Life,,26,"Canada, United States",2003,2004,CBS,,,,,
Sadie Sparks,,52,"France, Ireland",2019,2019,Disney Channel,,,,,
Sago Mini Friends,1,10,United States,2022,Present,Apple TV+,,,,,
"Sagwa, the Chinese Siamese Cat",1,40,"Canada, United States",2001,2002,Treehouse TV,PBS Kids,,,,
Salad Fingers,1,12,Britain,2004,2019,YouTube,Newgrounds,,,,
Sally Bollywood: Super Detective,,104,"Australia, France",2009,2013,France 3,Seven Network,,,,
Salty's Lighthouse,1,40,US,1998,1998,PBS,,,,,
Sammy,1,13,United States,2000,2000,NBC,,,,,
SamSam,,91,France,2007,2013,France 5,,,,,
Samufly,,26,Indonesia,2013,2013,Dreamtoon,,,,,
Samurai Jack,5,62,United States,2001,2004,Cartoon Network,Adult Swim,,,,
Samurai Jack,5,62,United States,2017,2017,Cartoon Network,Adult Swim,,,,
Samurai Rabbit: The Usagi Chronicles,2,20,United States,2022,Present,Netflix,,,,,
Sandra the Fairytale Detective,1,52,"Spain, India, Portugal",2009,2010,Junior,,,,,
Sanjay and Craig,3,60,United States,2013,2016,Nickelodeon,,,,,
Santa Inc.,1,10,United States,2021,2021,HBO Max,,,,,
Santa's Apprentice,1,50,French,2006,2006,,,,,,
Santiago of the Seas,2,29,United States,2020,Present,Nickelodeon[32],,,,,
Santo Bugito,1,13,US,1995,1995,CBS,,,,,
Santo Contra Los Clones,,5,Mexico,2004,2004,Cartoon Network,,,,,
Sarah & Duck,3,120,UK,2013,2017,CBeebies,,,,,
Saturday Morning All Star Hits!,1,8,United States,2021,Present,Netflix,,,,,
Saturday Morning Minions,1,40,United States,2021,2022,Facebook / Instagram,,,,,
Scaredy Squirrel,3,104,Canada,2011,2013,YTV (Canada),Cartoon Network (United States),Disney XD,Nickelodeon,,
School for Vampires,,104,"Germany, Italy",2006,2010,KiKa,ARD,,,,
School of Roars,1,52,British,2017,Present,CBeebies,,,,,
Science Court,3,29,US,1997,2000,ABC,,,,,
SciGirls,5,39,United States,2010,Present,PBS Kids Go!,,,,,
Scooby-Doo and Guess Who?,2,52,United States,2019,2021,Cartoon Network,Boomerang,,,,
Scooby-Doo! Mystery Incorporated,2,52,United States,2010,2013,Cartoon Network,,,,,
Scream Street,2,52,United Kingdom,2015,Present,CBBC,BBC,,,,
Screechers Wild!,2,62,China,2016,2017,,,,,,
Scruff,2,105,Spain,2000,2000,Tiny Pop,,,,,
Sea of Love,1,15,Thai,2022,Present,Netflix,,,,,
Sea Princesses,2,104,"Australia, Brazil",2007,2010,Discovery Kids,,,,,
Sealab 2021,4,52,United States,2001,2005,Adult Swim,,,,,
Secret Millionaires Club,1,22,United States,2011,2014,The Hub,,,,,
Secret Mountain Fort Awesome,2,26,United States,2011,2012,Cartoon Network,,,,,
Seekers,TBA,TBA,Canada,2022,2022,CBC Kids,,,,,
Sendokai Champions,2,52,Spain,2013,Present,Clan TVE,,,,,
Seven Little Monsters,3,40,"Canada, China, Philippines",2000,2004,PBS Kids,,,,,
Shadow Raiders,2,26,Canada,1998,1999,YTV,First-run syndication,,,,
Shaggy & Scooby-Doo Get a Clue!,,26,United States,2006,2009,Kids' WB,,,,,
Shanna's Show,,,United States,2004,2010,Playhouse Disney,,,,,
Shaolin Wuzang,,26,"France, China",2006,2006,France 3,,,,,
Sharkdog,2,14,United States,2021,Present,Netflix,,,,,
Sharky & George,2,52,"Canada, France",1988,1992,Syndication,,,,,
Shaun the Sheep,5,150,Britain,2007,Present,CBBC,,,,,
She-Ra and the Princesses of Power,5,52,United States,2018,2020,Netflix,,,,,
Sheeep,1,26,Britain,2000,2001,CBeebies,,,,,
Sheep in the Big City,2,27,United States,2000,2002,Cartoon Network,,,,,
Shelldon,3,78,"United States, Thailand",2009,2012,Qubo,,,,,
Shelley Duvall's Bedtime Stories,2,12,US,1992,1993,Showtime,,,,,
Sheriff Callie's Wild West,2,52,"Canada, United States",2014,2017,Disney Junior,,,,,
Sherlock Holmes in the 22nd Century,1,26,"UK, US, France",1999,2001,Fox Kids,Syndication,,,,
"Sherlock Yack, Sherlock Yack: Zoo-Détective",1,52,France,2011,2011,TF1 (France),Clan (Spain),,,,
SheZow,,26,"Australia, Canada",2012,2013,Network Ten,The Hub,,,,
Shimmer and Shine,4,86,United States,2015,2020,Nick Jr.,,,,,
Shiva,,,India,2015,2015,Nickelodeon Sonic,Rishtey,Nick HD+,,,
Shorties Watchin' Shorties,,13,United States,2004,2004,Comedy Central,,,,,
Shorts in a Bunch,,13,United States,2007,2008,Nicktoons Network,,,,,
Shorty McShorts' Shorts,,13,United States,2006,2007,Disney Channel,,,,,
Shuriken School,,65,"France, Spain",2006,2007,Jetix,,,,,
"Sid the Science Kid, Jim Henson's Sid the Science Kid",2,65,United States,2008,2012,PBS Kids (United States),Discovery Kids (Latin American),France 5,Zouzous (France),,
Sidekick,3,52,Canada,2010,2013,YTV (Canada),Cartoon Network (Seasons 1–2) (United States),Qubo (Season 3),CBBC and Going Live,Disney XD (Australia and Southeast Asia),
Silver Surfer,1,13,"Canada, US",1998,1998,Fox Kids,,,,,
Silverwing,,13,Canada,2003,2004,Teletoon,,,,,
Simon,3,156,France,2016,2019,France 5,,,,,
Simon in the Land of Chalk Drawings,2,24,"Canada, China",2002,2003,ITV,Teletoon,,,,
Simon's Cat,,115,Britain,2008,Present,YouTube,,,,,
Simsala Grimm,3,52,Germany,1999,2010,Kinderkanal,,,,,
Sir Mouse,,,Ireland,2019,Present,RTEjr,,,,,
"Sit Down, Shut Up",,13,United States,2009,2009,Fox,,,,,
Sítio do Picapau Amarelo,3,78,Brazil,2012,2016,Rede Globo,Cartoon Network,Tooncast,Boomerang,,
Sitting Ducks,2,26,"Canada, United States",2001,2003,Cartoon Network,,,,,
Skatoony,,39,"Canada, Britain",2006,2006,Teletoon,,,,,
Skeleton Warriors,1,13,US,1995,1995,CBS,,,,,
Skippy: Adventures in Bushtown,1,26,Australia,1998,1998,Nine Network,,,,,
Skunk Fu!,1,26,"Ireland, Britain",2007,2008,,,,,,
Sky Commanders,1,13,US,1987,1987,Syndication,,,,,
Sky Dancers,1,26,France,1996,1997,France 2,,,,,
SkyEye,,500,China,2005,Present,,,,,,
Skyland,,26,"Canada, France",2005,2007,France 2,Teletoon,,,,
Skylanders Academy,3,38,"France, United States",2016,2018,Netflix,,,,,
Skysurfer Strike Force,1,26,US,1995,1996,Syndication,,,,,
Slacker Cats,2,12,United States,2007,2009,ABC Family,,,,,
Slippin’ Jimmy,1,6,United States,2022,Present,AMC+,,,,,
Slugterra,,78,Canada,2012,2016,Family,Disney XD,,,,
Small Potatoes,,27,Britain,2011,2011,CBeebies,,,,,
Small Stories,1,26,"Canada, France",1996,1996,Treehouse TV,,,,,
Smiling Friends,1,9,United States,2022,Present,Adult Swim,,,,,
Snoopy in Space,,12,Canada,2019,Present,Apple TV+,,,,,
Snow Queen: Gerda and the Keepers of Wonders,1,52,Russia,2019,Present,O!,Carousel,,,,
Sofia the First,4,109,United States,2013,2018,Disney Junior,,,,,
Solar Opposites,3,27,United States,2020,Present,Hulu,,,,,
Sonic Boom,2,104,"France, United States",2014,2017,Canal J,Cartoon Network,Boomerang,,,
Sonic Prime,TBA,TBA,United States,2022,2022,Netflix,,,,,
Sonic the Hedgehog,2,26,US,1993,1994,ABC,,,,,
Sonic Underground,1,40,"France, US",1999,2000,Syndication,TF1,,,,
Sons of Butcher,,26,Canada,2005,2006,Teletoon at Night,,,,,
Sooty's Amazing Adventures,2,16,UK,1996,1997,CITV,,,,,
SOS Fada Manu,,52,Brazil,2015,Present,Gloob,,,,,
Soul Quest Overdrive,1,6,United States,2011,2011,Adult Swim,,,,,
South Park,23,308,US,1997,Present,Comedy Central,,,,,
Space Cats,1,13,US,1991,1992,NBC,,,,,
Space Chickens in Space,,26,"Australia, Ireland, Mexico, Britain",2018,2019,Disney XD,,,,,
Space Ghost Coast to Coast,11,110,US,1994,2004,Cartoon Network,Adult Swim,,,,
Space Ghost Coast to Coast,11,110,US,2006,2008,Cartoon Network,Adult Swim,,,,
Space Goofs,2,104,France,1997,2006,France 3,,,,,
Space Racers,,40,United States,2014,2018,PBS Kids,Sprout,,,,
Space Strikers,1,26,"US, France",1995,1996,UPN,,,,,
Spaceballs: The Animated Series,,13,United States,2008,2009,G4,,,,,
Spaced Out,1,26,"Canada, France",2002,2005,Cartoon Network,,,,,
Sparkle Friends,5,3,"Australia, New Zealand",2006,2011,TVNZ,,,,,
Spawn,3,18,US,1997,1999,HBO,,,,,
Special Agent Oso,2,57,United States,2009,2012,Playhouse Disney,,,,,
Speed Racer: The Next Generation,,45,United States,2008,2013,Nicktoons Network,,,,,
Spicy City,1,6,US,1997,1997,HBO,,,,,
Spider-Man,5,65,US,1994,1998,Fox Kids,,,,,
Spider-Man (2017),3,58,United States,2017,2020,Disney XD,,,,,
Spider-Man Unlimited,1,13,US,1999,2001,Fox Kids,,,,,
Spider-Man: The New Animated Series,,13,"Canada, United States",2003,2003,MTV,,,,,
Spider!,1,13,UK,1991,1991,Children's BBC,,,,,
Spidey and His Amazing Friends,1,25,"United States, Canada",2021,Present,Disney Junior,,,,,
Spike Team,2,52,Italy,2010,Present,Rai 2,,,,,
Spiral Zone,1,65,US,1987,1987,Syndication,,,,,
Spirit Rangers,TBA,TBA,United States,2022,2022,Netflix,,,,,
Spirit Riding Free,10,78,United States,2017,2020,Netflix,,,,,
Spirit Riding Free: Riding Academy,2,16,United States,2020,Present,Netflix,,,,,
Splash and Bubbles,,40,United States,2016,2018,PBS Kids,,,,,
Spliced,1,26,Canada,2009,2010,Teletoon,,,,,
SpongeBob SquarePants,13,275,US,1999,2021,Nickelodeon,,,,,
"Spongo, Fuzz and Jalapeña",,26,Australia,2019,Present,ABC Me,,,,,
Spookiz,4,,South Korea,2015,Present,,,,,,
Spy Groove,1,13,United States,2000,2000,MTV,,,,,
Spy Kids: Mission Critical,2,20,"Canada, United States",2018,2018,Netflix,,,,,
Squidbillies,13,132,United States,2005,2021,Adult Swim,,,,,
Squirrel Boy,,26,United States,2006,2007,Cartoon Network,,,,,
Squish,,52[28][29],Belgium,2019,Present,Gulli,Teletoon,Canal J,,,
Staines Down Drains,,26,"Australia, New Zealand",2006,2007,Seven Network,,,,,
Stan Lee's Superhero Kindergarten,1,26,United States,2021,Present,Amazon Prime Video,,,,,
Stanley,3,65,United States,2001,2007,ABC Kids,Family Channel,Playhouse Disney,,,
Star Street: The Adventures of the Star Kids,1,26,Netherlands,1989,1990,,,,,,
Star Trek: Lower Decks,2,20,United States,2020,Present,Paramount+,,,,,
Star Trek: Prodigy,1,10,United States,2021,Present,Paramount+ / Nickelodeon,,,,,
Star vs. the Forces of Evil,4,77,United States,2015,2019,Disney XD,Disney Channel,,,,
Star Wars Rebels,,75,United States,2014,2018,Disney XD,,,,,
Star Wars Resistance,,40,United States,2018,2020,Disney Channel,,,,,
Star Wars: Clone Wars,,25,United States,2003,2005,Cartoon Network,,,,,
Star Wars: The Bad Batch,1,16,United States,2021,Present,Disney+,,,,,
Star Wars: The Clone Wars,,133,United States,2008,2014,Cartoon Network,Disney+,,,,
Star Wars: The Clone Wars,,133,United States,2020,2020,Cartoon Network,Disney+,,,,
StarBeam,4,33,"United States, Canada",2020,Present,Netflix,,,,,
Starcom: The US Space Force,1,13,US,1987,1987,Syndication,,,,,
Stargate Infinity,1,26,United States,2002,2003,Fox Kids,,,,,
Starveillance,,6,"Canada, United States",2007,2007,E!,,,,,
Static Shock,4,52,United States,2000,2004,Kids' WB,,,,,
Station X,,26,Canada,2005,2005,Teletoon at Night,,,,,
Station Zero,1,20,US,1999,1999,MTV,,,,,
Steven Universe,5,152,United States,2013,2019,Cartoon Network,,,,,
Steven Universe Future,1,20,United States,2019,2020,Cartoon Network,,,,,
Stickin' Around,3,39,Canada,1996,2004,YTV,,,,,
Stillwater,2,20,"United States, France",2020,Present,Apple TV+,,,,,
Stitch & Ai,1,13,China,2017,2017,CCTV-1,CCTV-14,,,,
Stoked,,52,Canada,2009,2013,Teletoon,,,,,
Stone Protectors,1,13,US,1993,1993,Syndication,,,,,
Stone Quackers,,12,United States,2014,2015,FXX,,,,,
Stoppit and Tidyup,1,13,UK,1988,1988,BBC One,,,,,
Stories of the Sylvanian Families,1,4,UK,1988,1988,Direct-to-Video,,,,,
Storm Hawks,,52,Canada,2007,2009,YTV,,,,,
StoryBots Super Songs,,5,United States,2016,2016,Netflix,,,,,
StoryBots: Answer Time,TBA,TBA,United States,2022,2022,Netflix,,,,,
Strawberry Shortcake,,44,United States,2003,2008,Direct-to-Video,,,,,
Strawberry Shortcake: Berry in the Big City,1,26,United States,2021,Present,YouTube,,,,,
Strawberry Shortcake's Berry Bitty Adventures,4,65,"Canada, France, United States",2010,2015,Discovery Family,Disney Junior,Discovery Kids,,,
Street Fighter,2,26,"Canada, US",1995,1997,USA Network,,,,,
Street Sharks,3,40,US,1994,1997,Syndication,,,,,
Stressed Eric,2,13,UK,1998,2000,BBC Two,,,,,
Stretch Armstrong and the Flex Fighters,2,23,United States,2017,2018,Netflix,,,,,
Stripperella,,13,United States,2003,2004,Spike TV,,,,,
Stroker and Hoop,,13,United States,2004,2005,Adult Swim,,,,,
Stuart Little: The Animated Series,,13,United States,2003,2003,HBO,,,,,
Student Bodies,3,52,Canada,1997,1997,YTV,Fox,,,,
Stunt Dawgs,1,40,US,1992,1993,Syndication,,,,,
Subway Surfers: The Animated Series,1,11,United States,2018,Present,YouTube,,,,,
Sugar and Toys,2,16,United States,2019,2020,Fuse,,,,,
Summer Camp Island,3,100,United States,2018,Present,Cartoon Network,HBO Max,,,,
Summer Memories,1,20,Canada,2022,2022,Family Channel,,,,,
Sunday Pants,,5,United States,2005,2005,Cartoon Network,,,,,
Sunny Bunnies,6,89,Belarus,2015,Present,YouTube,,,,,
Sunny Day,,60,"Canada, Britain",2017,2020,Nick Jr.,,,,,
Super 4,,52,France,2014,2017,Netflix,,,,,
Super Dave: Daredevil for Hire,1,13,US,1992,1993,Fox Kids,,,,,
Super Drags,1,5,Brazil,2018,2018,Netflix,,,,,
Super Duper Sumos,1,26,United States,2002,2003,Nickelodeon,,,,,
Super Giant Robot Brothers,1,10,United States,2022,Present,Netflix,,,,,
Super Inggo at ang Super Tropa,,26,Philippines,2009,2010,ABS-CBN,,,,,
Super Mario World,1,13,"Canada, US",1991,1992,NBC,,,,,
Super Monsters,,10,"Canada, United States",2017,2019,Netflix,,,,,
Super Robot Monkey Team Hyperforce Go!,,52,United States,2004,2006,ABC Family,Jetix,,,,
Super Secret Secret Squirrel,1,13,US,1993,1993,TBS,,,,,
Super Why!,,104,"Canada, United States",2007,2016,PBS Kids,CBC Kids,Discovery Kids,,,
Super Wings,5,204,"South Korea, China, United States, Japan",2015,Present,EBS (South Korea),syndicated (Mainland China),Universal Kids (United States),Hop! Channel (Israel),Netflix (International),Discovery Kids (Latin American)
Super Wish,1,10,Canada,2022,Present,YTV,,,,,
SuperFuckers,,12,United States,2012,2014,YouTube,,,,,
Superjail!,,40,United States,2008,2014,Adult Swim,,,,,
Superman,1,13,US,1988,1988,CBS,,,,,
Superman: The Animated Series,3,54,US,1996,2000,Kids' WB,,,,,
SuperMansion,3,41,United States,2015,2019,Crackle,,,,,
Supernatural Academy,1,16,United States,2022,Present,Peacock,,,,,
SuperNews!,,67,United States,2005,2010,Current TV,,,,,
Sushi Pack,,52,"Canada, United States",2007,2009,CBS,,,,,
Swamp Thing,1,5,US,1990,1991,Fox Kids,,,,,
SWAT Kats: The Radical Squadron,2,25,US,1993,1994,TBS,,,,,
"Sydney Sailboat, Bubble Bath Bay",2,52,Australia,2015,2015,ABC Kids (Australia),Sprout (United States),,,,
Sylvan,1,65,Spain,1995,1995,TV3,,,,,
Sylvanian Families,1,13,US,1987,1987,Syndication,,,,,
Sylvanian Families: Mini Stories,4,48,Japan,2017,2020,TV Tokyo,,,,,
Sym-Bionic Titan,1,20,United States,2010,2011,Cartoon Network,,,,,
T.O.T.S.,,,United States,2019,Present,Disney Junior,,,,,
T.U.F.F. Puppy,3,60,United States,2010,2015,Nickelodeon,Nicktoons,,,,
Tabaluga,3,78,"Australia, Germany",1997,2004,Seven Network,,,,,
Taffy,1,78,France,2018,Present,Boomerang,,,,,
Tai Chi Chasers,,39,South Korea,2007,2008,KBS,,,,,
Taina and the Amazon's Guardians,1,26,Brazil,2018,Present,Nickelodeon,,,,,
Tak and the Power of Juju,,26,United States,2007,2009,Nickelodeon,,,,,
Take Two with Phineas and Ferb,1,21,United States,2010,2013,Disney Channel,,,,,
Tales from the Cryptkeeper,3,39,"US, Canada",1993,1997,YTV,Teletoon,ABC,CBS,,
Tales of Friendship with Winnie the Pooh,,52,United States,2012,2014,Disney Junior,,,,,
Tales of the Jedi,TBA,TBA,United States,2022,2022,Disney+,,,,,
TaleSpin,1,65,US,1990,1991,The Disney Channel,Syndication,,,,
Talking Friends,1,10,United States,2012,2012,YouTube,,,,,
Talking Tom and Friends,5,151,United States,2015,2021,YouTube,,,,,
Talking Tom and Friends Minis,1,59,"Slovene, South Korea",2016,2018,YouTube,,,,,
Talking Tom Heroes,1,52 (50 released so far),"Slovene, South Korea",2019,Present,YouTube,,,,,
Talking Tom Shorts,2,65,United States,2014,Present,YouTube,,,,,
Tara Duncan: The Evil Empress,1,26,France,2010,2011,M8,Disney XD,,,,
Tarantula,,10,United States,2017,2017,TBS,,,,,
Tarzan and Jane,2,13,"Canada, United States",2017,2018,Netflix,,,,,
Tasty Time with ZeFronk,,20,United States,2008,2010,Playhouse Disney,,,,,
Tayo the Little Bus,5,26,South Korea,2010,2019,EBS,,,,,
Taz-Mania,4,65,US,1991,1995,Fox Kids,,,,,
Teacher's Pet,2,39,United States,2000,2002,Toon Disney,,,,,
